id,sentence,expected_segments_json
s01,我喜欢学习中文。,"[""我"",""喜欢"",""学习"",""中文"",""。""]"
s02,人工智能改变世界。,"[""人工智能"",""改变"",""世界"",""。""]"
s03,今天下午我们一起去图书馆看书。,"[""今天"",""下午"",""我们"",""一起"",""去"",""图书馆"",""看书"",""。""]"
s04,亡羊补牢，为时未晚。,"[""亡羊补牢"",""，"",""为时未晚"",""。""]"
s05,中华人民共和国成立于一九四九年。,"[""中华人民共和国"",""成立"",""于"",""一九四九年"",""。""]"
s06,研究生命起源。,"[""研究"",""生命"",""起源"",""。""]"
s07,你今天怎么这么开心呀？,"[""你"",""今天"",""怎么"",""这么"",""开心"",""呀"",""？""]"
s08,请把这份文件发到我的邮箱。,"[""请"",""把"",""这"",""份"",""文件"",""发"",""到"",""我"",""的"",""邮箱"",""。""]"
s09,虽然天气很冷，但是大家都按时到了。,"[""虽然"",""天气"",""很"",""冷"",""，"",""但是"",""大家"",""都"",""按时"",""到"",""了"",""。""]"
s10,这个问题看起来简单，其实不容易回答。,"[""这个"",""问题"",""看起来"",""简单"",""，"",""其实"",""不"",""容易"",""回答"",""。""]"
s11,我们计划在下个月上线新的支付系统。,"[""我们"",""计划"",""在"",""下个月"",""上线"",""新"",""的"",""支付"",""系统"",""。""]"
s12,如果你有时间，我们周末去爬山吧！,"[""如果"",""你"",""有"",""时间"",""，"",""我们"",""周末"",""去"",""爬山"",""吧"",""！""]"
s13,这部电影我已经看过三遍了。,"[""这"",""部"",""电影"",""我"",""已经"",""看"",""过"",""三"",""遍"",""了"",""。""]"
s14,老师要求我们明天之前提交作业。,"[""老师"",""要求"",""我们"",""明天"",""之前"",""提交"",""作业"",""。""]"
s15,上海和北京都是中国的重要城市。,"[""上海"",""和"",""北京"",""都"",""是"",""中国"",""的"",""重要"",""城市"",""。""]"
s16,为了提高效率，团队决定优化部署流程。,"[""为了"",""提高"",""效率"",""，"",""团队"",""决定"",""优化"",""部署"",""流程"",""。""]"
s17,她一边听音乐，一边整理房间。,"[""她"",""一边"",""听"",""音乐"",""，"",""一边"",""整理"",""房间"",""。""]"
s18,请确认订单号A12345是否已经付款。,"[""请"",""确认"",""订单号"",""A12345"",""是否"",""已经"",""付款"",""。""]"
s19,系统在高并发场景下仍然保持稳定运行。,"[""系统"",""在"",""高并发"",""场景"",""下"",""仍然"",""保持"",""稳定"",""运行"",""。""]"
s20,经过多轮讨论，方案终于达成一致意见。,"[""经过"",""多"",""轮"",""讨论"",""，"",""方案"",""终于"",""达成"",""一致"",""意见"",""。""]"
